date,season,normalized_season,round_number,match_number,home_team,away_team,home_goals,away_goals,official_sign,is_pleno15,official_round_id,match_id,home_team_raw,away_team_raw,home_team_normalized,away_team_normalized,home_team_canonical,away_team_canonical,mapping_status,competition,competition_type,data_quality,source,status,has_pleno15,total_matches,result_by_draw,kickoff,imported_at,prize_info_available,revenue_available
2008-09-07,2008-2009,2008-2009,2,2,Hungría,Dinamarca,0,0,X,false,official-2008-2009-2,official-2008-2009-2-2,Hungría,Dinamarca,hungria,dinamarca,Hungría,Dinamarca,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,3,Austria,Francia,3,1,1,false,official-2008-2009-2,official-2008-2009-2-3,Austria,Francia,austria,francia,Austria,Francia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,4,Noruega,Islandia,2,2,X,false,official-2008-2009-2,official-2008-2009-2-4,Noruega,Islandia,noruega,islandia,Noruega,Islandia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,5,Las Palmas,Elche,2,0,1,false,official-2008-2009-2,official-2008-2009-2-5,Las Palmas,Elche,laspalmas,elche,Las Palmas,Elche,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,6,Ucam Murcia,Levante,1,2,2,false,official-2008-2009-2,official-2008-2009-2-6,Ucam Murcia,Levante,ucammurcia,levante,UCAM Murcia,Levante,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,7,Hércules,Rayo Vallecano,1,1,X,false,official-2008-2009-2,official-2008-2009-2-7,Hércules,Rayo Vallecano,hercules,rayovallecano,Hércules,Rayo Vallecano,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,8,Alavés,Córdoba,1,0,1,false,official-2008-2009-2,official-2008-2009-2-8,Alavés,Córdoba,alaves,cordoba,Alaves,Cordoba,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,9,Sevilla Ath.,Salamanca,1,1,X,false,official-2008-2009-2,official-2008-2009-2-9,Sevilla Ath.,Salamanca,sevillaath,salamanca,Sevilla Ath.,Salamanca,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,10,Xerez,Albacete,2,1,1,false,official-2008-2009-2,official-2008-2009-2-10,Xerez,Albacete,xerez,albacete,Xerez,Albacete,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,11,Girona,Alicante,3,0,1,false,official-2008-2009-2,official-2008-2009-2-11,Girona,Alicante,girona,alicante,Girona,Alicante,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,12,CD. Castellón,Celta,2,0,1,false,official-2008-2009-2,official-2008-2009-2-12,CD. Castellón,Celta,castellon,celta,CD. Castellón,Celta,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,13,C. Gimnastic,Huesca,1,1,X,false,official-2008-2009-2,official-2008-2009-2-13,C. Gimnastic,Huesca,cgimnastic,huesca,C. Gimnastic,Huesca,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,14,Eibar,Tenerife,3,2,1,false,official-2008-2009-2,official-2008-2009-2-14,Eibar,Tenerife,eibar,tenerife,Eibar,Tenerife,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-07,2008-2009,2008-2009,2,15,R. Zaragoza,Real Sociedad,2,2,X,true,official-2008-2009-2,official-2008-2009-2-15,R. Zaragoza,Real Sociedad,zaragoza,realsociedad,Zaragoza,Real Sociedad,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-07T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,1,España,Armenia,4,0,1,false,official-2008-2009-3,official-2008-2009-3-1,España,Armenia,espana,armenia,España,Armenia,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
2008-09-10,2008-2009,2008-2009,3,2,Portugal,Dinamarca,2,3,2,false,official-2008-2009-3,official-2008-2009-3-2,Portugal,Dinamarca,portugal,dinamarca,Portugal,Dinamarca,MAPPED,UNKNOWN,UNKNOWN,HIGH,combinacionganadora_master_csv,READY,true,14,false,2008-09-10T00:00,2026-06-18T06:17:36.532926Z,false,false
